fund_name,expense_ratio,fund_manager_name,fund_manager_teneur,fund_manager_experience,fund_manager_prev_funds,fund_manager_prev_total_funds,fund_type,category,risk,nav,fund_size,overall_return,rank,AUM
Union Arbitrage Fund Direct Growth,0.38,"[""Devesh Thacker"", ""Vishal Thakker""]","[""Jan 2019 - Present"", ""Jan 2019 - Present""]","[[""Mr. Thacker is a B.Com (H) and Post graduate from University of Pune."", ""Prior to joining Union AMC in 2011 he has worked with Sahara AMC.""], [""Mr.Thakker has done B.Com & M.B.A"", ""Prior joining to Union Mutual Fund he has worked with Elara Capital and Emkay Shares & Stock Broking.""]]","[[""Union Liquid Fund Direct Growth"", ""Union Dynamic Bond Fund Direct Growth"", ""Union Short Term Fund Direct Growth"", ""Union Arbitrage Fund Direct Growth"", ""Union Overnight Fund Direct Growth"", ""Union Money Market Fund Direct Growth"", ""Union Fixed Maturity Plan Series 13 (1114 Days) Direct Growth""], [""Union Arbitrage Fund Direct Growth""]]","[7, 1]",Hybrid,Arbitrage,Low Risk,13.66,234.99,5.9,27.0,16877.5
UTI BSE Housing Index Fund Direct Growth,0.62,"[""Sharwan Kumar Goyal"", ""Ayush Jain""]","[""May 2023 - Present"", ""May 2023 - Present""]","[[""Mr.Goyal is B.Com, CFA and MMS."", ""He began his career with UTI in June 2006 and has 15 years of overall experience in Risk / Fund management. Presently he is working as Equity Fund Manager.""], [""Mr. Jain is B.Com, C.A and CFA (level 1)."", ""Prior to joining UTI Mutual Fund, he has worked with PMS and Anand Saklecha & Co..""]]","[[""UTI Nifty 50 Index Fund Direct Growth"", ""UTI Multi Asset Allocation Fund Direct Growth"", ""UTI Arbitrage Fund Direct Growth"", ""UTI Focussed Equity Fund Series IV (1104 Days) Direct Growth"", ""UTI Focussed Equity Fund Series VI (1150 Days) Direct Growth"", ""UTI Nifty Next 50 Index Fund Direct Growth"", ""UTI Nifty200 Momentum 30 Index Fund Direct Growth"", ""UTI BSE Sensex Index Fund Direct Growth"", ""UTI BSE Low Volatility Index Fund Direct Growth"", ""UTI Nifty Midcap 150 Quality 50 Index Fund Direct Growth"", ""UTI Gold ETF FoF Direct Growth"", ""UTI Silver ETF FoF Direct Growth"", ""UTI Nifty 500 Value 50 Index Fund Direct Growth"", ""UTI NIFTY50 Equal Weight Index Fund Direct Growth"", ""UTI BSE Housing Index Fund Direct Growth""], [""UTI Nifty 50 Index Fund Direct Growth"", ""UTI Nifty Next 50 Index Fund Direct Growth"", ""UTI Nifty200 Momentum 30 Index Fund Direct Growth"", ""UTI BSE Sensex Index Fund Direct Growth"", ""UTI BSE Low Volatility Index Fund Direct Growth"", ""UTI Nifty Midcap 150 Quality 50 Index Fund Direct Growth"", ""UTI Gold ETF FoF Direct Growth"", ""UTI Silver ETF FoF Direct Growth"", ""UTI Nifty 500 Value 50 Index Fund Direct Growth"", ""UTI NIFTY50 Equal Weight Index Fund Direct Growth"", ""UTI BSE Housing Index Fund Direct Growth""]]","[15, 11]",Other,Index,Very High Risk,15.16,27.66,49.0,8.0,325384.55
Axis Balanced Advantage Fund Direct Growth,0.85,"[""Devang Shah"", ""Ashish Naik"", ""Hardik Shah"", ""Jayesh Sundar""]","[""Apr 2024 - Present"", ""Mar 2023 - Present"", ""Jan 2022 - Present"", ""Sep 2023 - Present""]","[[""Mr. Shah is B.Com and ACA."", ""Prior to joining Axis AMC he has worked with ICICI Prudential AMC, Deutsche Asset Management (India) Pvt. Ltd. and Pricewaterhouse Coopers.""], [""Mr. Naik is a B.E from Mumbai University and MBA from XLRI, Jamshedpur."", ""Prior to joining Axis Mutual Fund he was associated with organizations such as Goldman Sachs and has over 7 years of experience as an Equity Analyst.""], [""Mr. Shah has done B.E. Information Technology and MBA Finance."", ""Prior to joining Axis Mutual Fund, he has worked with Nippon India Mutual Fund, Quantum Asset Management Company and ICAP India (P) Ltd.""], [""Mr. Sundar is a Chartered Accountant"", ""Prior to joining Axis MF, he has worked with Aviva Life Insurance Company, Tata Securities Ltd., Collins Stewart India Pvt. Ltd., IL&FS Investsmart and CRISIL""]]","[[""Axis Liquid Direct Fund Growth"", ""Axis Gilt Fund Direct Plan Growth"", ""Axis Dynamic Bond Direct Fund Growth"", ""Axis Gold Direct Plan Growth"", ""Axis Strategic Bond Fund Direct Growth"", ""Axis Regular Saver Fund Direct Growth"", ""Axis Short Term Direct Fund Growth"", ""Axis Treasury Advantage Direct Fund Growth"", ""Axis Multi Asset Allocation Direct Plan Growth"", ""Axis Hybrid Fund Series 5 Direct Growth"", ""Axis Hybrid Fund Series 6 Direct Growth"", ""Axis Credit Risk Fund Direct Growth"", ""Axis Arbitrage Fund Direct Growth"", ""Axis Hybrid Fund Series 24 Direct Growth"", ""Axis Equity Saver Fund Direct Growth"", ""Axis Children's Gift Fund Direct Compulsory Lock In Growth"", ""Axis Children's Gift Fund Direct No Lock In Growth"", ""Axis Hybrid Fund Series 30 Direct Growth"", ""Axis Hybrid Fund Series 32 Direct Growth"", ""Axis Corporate Debt Fund Direct Growth"", ""Axis Balanced Advantage Fund Direct Growth"", ""Axis Fixed Term Plan Series 92 (154 Days) Direct Growth"", ""Axis Equity Hybrid Fund Direct Growth"", ""Axis Fixed Term Plan Series 96 (1124 Days) Direct Growth"", ""Axis Fixed Term Plan Series 97 (1116 Days) Direct Growth"", ""Axis Fixed Term Plan Series 100 (1172 Days) Direct Growth"", ""Axis Fixed Term Plan Series 101 (1154 Days) Direct Growth"", ""Axis Fixed Term Plan Series 102 (1133 Days) Direct Growth"", ""Axis Fixed Term Plan Series 104 (1112 Days) Direct Growth"", ""Axis Money Market Fund Direct Growth"", ""Axis Retirement Savings Fund Aggressive Plan Direct Growth"", ""Axis Retirement Savings Fund Dynamic Plan Direct Growth"", ""Axis Retirement Savings Fund Conservative Plan Direct Growth"", ""Axis All Seasons Debt FoF Direct Growth"", ""Axis Fixed Term Plan Series 109 (111 Days) Direct Growth"", ""Axis CRISIL IBX 70:30 CPSE Plus SDL April 2025 Index Fund Direct Growth"", ""Axis Long Duration Fund Direct Growth""], [""Axis Bluechip Fund Direct Plan Growth"", ""Axis Regular Saver Fund Direct Growth"", ""Axis ELSS Tax Saver Direct Plan Growth"", ""Axis Multi Asset Allocation Direct Plan Growth"", ""Axis Hybrid Fund Series 5 Direct Growth"", ""Axis Hybrid Fund Series 6 Direct Growth"", ""Axis Arbitrage Fund Direct Growth"", ""Axis Children's Gift Fund Direct Compulsory Lock In Growth"", ""Axis Children's Gift Fund Direct No Lock In Growth"", ""Axis Hybrid Fund Series 30 Direct Growth"", ""Axis Hybrid Fund Series 32 Direct Growth"", ""Axis Balanced Advantage Fund Direct Growth"", ""Axis Capital Builder Fund Series 1 (1540 Days) Direct Growth"", ""Axis Equity Hybrid Fund Direct Growth"", ""Axis Nifty 100 Index Fund Direct Growth"", ""Axis Innovation Fund Direct Growth"", ""Axis Quant Fund Direct Growth"", ""Axis Business Cycles Fund Direct Growth""], [""Nippon India Gilt Securities Fund Direct Growth"", ""Nippon India Gilt Securities Fund Direct Defined Maturity Date Growth"", ""Nippon India Dynamic Bond Fund Direct Growth"", ""Axis Banking & PSU Debt Direct Plan Growth"", ""Axis Dynamic Bond Direct Fund Growth"", ""Axis Multi Asset Allocation Direct Plan Growth"", ""Nippon India Banking & PSU Debt Fund Direct Growth"", ""Axis Equity Saver Fund Direct Growth"", ""Axis Children's Gift Fund Direct Compulsory Lock In Growth"", ""Axis Children's Gift Fund Direct No Lock In Growth"", ""Axis Corporate Debt Fund Direct Growth"", ""Axis Balanced Advantage Fund Direct Growth"", ""Nippon India Nivesh Lakshya Fund Direct Growth"", ""Axis Retirement Savings Fund Aggressive Plan Direct Growth"", ""Axis Retirement Savings Fund Dynamic Plan Direct Growth"", ""Axis Retirement Savings Fund Conservative Plan Direct Growth"", ""Axis All Seasons Debt FoF Direct Growth"", ""Axis Floater Fund Direct Growth"", ""Axis CRISIL IBX SDL May 2027 Index Fund Direct Growth"", ""Axis Long Duration Fund Direct Growth"", ""Axis CRISIL IBX 50:50 Gilt Plus SDL Jun 2028 Index Fund Direct Growth""], [""Axis Regular Saver Fund Direct Growth"", ""Axis Multi Asset Allocation Direct Plan Growth"", ""Axis Equity Saver Fund Direct Growth"", ""Axis Children's Gift Fund Direct Compulsory Lock In Growth"", ""Axis Children's Gift Fund Direct No Lock In Growth"", ""Axis Balanced Advantage Fund Direct Growth"", ""Axis Equity Hybrid Fund Direct Growth"", ""Axis Retirement Savings Fund Aggressive Plan Direct Growth"", ""Axis Retirement Savings Fund Dynamic Plan Direct Growth"", ""Axis Retirement Savings Fund Conservative Plan Direct Growth""]]","[37, 18, 21, 10]",Hybrid,Dynamic Asset Allocation,Very High Risk,21.96,2466.12,11.8,7.0,292314.38
Sundaram Ultra Short Term Fund Direct Growth,0.18,"[""Siddharth Chaudhary"", ""Sandeep Agarwal""]","[""Jun 2019 - Present"", ""Jun 2019 - Present""]","[[""Mr. Chaudhary is a B.Com (H) and PGDM (Securities Markets)."", ""Prior to joining Bajaj Finserv Mutual Fund, he has worked with Sundaram Mutual Fund and Indian Bank.""], [""Mr. Agarwal is a B.Com (H) from University of Kota, Chartered Accountant and CS."", ""Prior to joining Sundaram Mutual Fund he has worked with Deutsche AMC.""]]","[[""Sundaram Banking & PSU Fund Direct Growth"", ""Sundaram Conservative Hybrid Fund Direct Plan Growth"", ""Sundaram Low Duration Fund(Ex) Direct Growth"", ""Sundaram Money Direct Growth"", ""Sundaram Hybrid Fund Series N Direct Growth"", ""Sundaram Capital Protection Oriented Fund 5Years Series 8 Direct Growth"", ""Sundaram Money Market Fund Direct Growth"", ""Sundaram Overnight Fund Direct Growth"", ""Sundaram Ultra Short Term Fund Direct Growth"", ""Sundaram Low Duration Fund Direct Growth"", ""Sundaram Ultra Short Duration Fund Direct Growth"", ""Sundaram Liquid Direct Growth"", ""Bajaj Finserv Liquid Fund Direct Growth"", ""Bajaj Finserv Overnight Fund Direct Growth"", ""Bajaj Finserv Money Market Fund Direct Growth"", ""Bajaj Finserv Flexi Cap Fund Direct Growth"", ""Bajaj Finserv Arbitrage Fund Direct Growth"", ""Bajaj Finserv Banking and PSU Fund Direct Growth"", ""Bajaj Finserv Multi Asset Allocation Fund Direct Growth"", ""Bajaj Finserv Large Cap Fund Direct Growth""], [""Sundaram Equity Hybrid Fund Direct Growth"", ""Sundaram Corporate Bond Fund Direct Growth"", ""Sundaram Banking & PSU Fund Direct Growth"", ""Sundaram Short Term Credit Risk Fund Direct Growth"", ""Sundaram Conservative Hybrid Fund Direct Plan Growth"", ""Sundaram Short Term Debt Fund Direct Plan Growth"", ""Sundaram Medium Duration Fund Direct Growth"", ""Sundaram Fixed Term Plan IE Direct Growth"", ""Sundaram Fixed Term Plan IJ Direct Growth"", ""Sundaram Fixed Term Plan IK Direct Growth"", ""Sundaram Money Market Fund Direct Growth"", ""Sundaram Overnight Fund Direct Growth"", ""Sundaram Ultra Short Term Fund Direct Growth"", ""Sundaram Low Duration Fund Direct Growth"", ""Sundaram Ultra Short Duration Fund Direct Growth"", ""Sundaram Short Duration Fund Direct Growth"", ""Sundaram Aggressive Hybrid Fund Direct Growth"", ""Sundaram Liquid Direct Growth"", ""Sundaram Business Cycle Fund Direct Growth""]]","[20, 19]",Debt,Ultra Short Duration,Low to Moderate Risk,11.38,1284.95,13.8,17.0,63389.98
Taurus Banking & Financial Services Fund Direct Growth,1.78,"[""Anuj Kapil""]","[""Jun 2023 - Present""]","[[""Mr. Kapil has done PGDBM and MBA"", ""Prior to joining Taurus Mutual Fund, he has worked with Religare Securities Ltd. and FCH Centrum Wealth Managers Ltd..""]]","[[""Taurus ELSS Tax Saver Direct Growth"", ""Taurus Banking & Financial Services Fund Direct Growth"", ""Taurus Large Cap Fund Direct Growth"", ""Taurus Mid Cap Fund Direct Growth"", ""Taurus Ethical Fund Direct Growth"", ""Taurus Infrastructure Fund Direct Growth"", ""Taurus Nifty 50 Index Fund Direct Growth"", ""Taurus Flexi Cap Fund Direct Growth""]]",[8],Equity,Sectoral / Thematic,Very High Risk,55.35,11.2,12.6,37.0,851.15
Aditya Birla Sun Life Nifty SDL Sep 2025 Index Fund Direct Growth,0.19,"[""Bhupesh Bameta"", ""Sanjay Godambe""]","[""Sep 2022 - Present"", ""Sep 2022 - Present""]","[[""Mr. Bameta has done B.Tech (IIT Kanpur), CFA Charterholder (CFA Institute, USA)"", ""Prior to joining Aditya Birla Sun Life Mutual Fund as an Analyst, Fixed Income. He was the Head of Research in Forex and Rates Desk at Edelweiss Securities Limited, covering global and Indian forex markets and economies. He was also associated with Quant Capital for 6 years as an Economist and was covering Indian and global economy and markets.""], [""Mr. Godambe is a Diploma in Finance Management and B. Com"", ""He is a finance professional with experience of over 14 years in mutual funds and its related activities (including fixed income). He possesses proficient knowledge in Government Securities, Corporate Bonds, Certificate of Deposits and Commercial Papers.""]]","[[""Aditya Birla Sun Life Dynamic Bond Retail Fund Direct Growth"", ""Aditya Birla Sun Life Government Securities Fund Direct Plan Growth"", ""Aditya Birla Sun Life Income Fund Direct Growth"", ""Aditya Birla Sun Life Dynamic Bond Fund Segregated Portfolio 1 Direct Growth"", ""Aditya Birla Sun Life Nifty SDL Apr 2027 Index Fund Direct Growth"", ""Aditya Birla Sun Life Long Duration Fund Direct Growth"", ""Aditya Birla Sun Life Nifty SDL Sep 2025 Index Fund Direct Growth"", ""Aditya Birla Sun Life CRISIL IBX Gilt April 2026 Index Fund Direct Growth"", ""Aditya Birla Sun Life CRISIL IBX 60:40 SDL+ AAA PSU Apr 2026 Index Fund Direct Growth"", ""Aditya Birla Sun Life Multi Asset Allocation Fund Direct Growth"", ""Aditya Birla Sun Life CRISIL IBX SDL Jun 2032 Index Fund Direct Growth"", ""Aditya Birla Sun Life CRISIL IBX Gilt Apr 2028 Index Fund Direct Growth"", ""Aditya Birla Sun Life US Treasury 1 3 year Bond ETFs FoF Direct Growth"", ""Aditya Birla Sun Life US Treasury 3 10 year Bond ETFs FoF Direct Growth"", ""Aditya Birla Sun Life CRISIL IBX Gilt June 2027 Index Fund Direct Growth""], [""Aditya Birla Sun Life CRISIL IBX AAA Jun 2023 Index Fund Direct Growth"", ""Aditya Birla Sun Life Nifty SDL Sep 2025 Index Fund Direct Growth"", ""Aditya Birla Sun Life CRISIL IBX Gilt April 2026 Index Fund Direct Growth"", ""Aditya Birla Sun Life CRISIL IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund Direct Growth"", ""Aditya Birla Sun Life CRISIL IBX Gilt Apr 2029 Index Fund Direct Growth"", ""Aditya Birla Sun Life CRISIL IBX 60:40 SDL+ AAA PSU Apr 2026 Index Fund Direct Growth"", ""Aditya Birla Sun Life CRISIL IBX AAA Mar 2024 Index Fund Direct Growth"", ""Aditya Birla Sun Life CRISIL IBX Gilt Apr 2028 Index Fund Direct Growth"", ""Aditya Birla Sun Life CRISIL IBX Gilt June 2027 Index Fund Direct Growth""]]","[15, 9]",Other,Index,Low to Moderate Risk,11.46,75.81,14.5,4.0,359537.4
PGIM India Credit Risk Fund Direct Growth,0.79,"[""Puneet Pal"", ""Ankur Murarka""]","[""Dec 2021 - Present"", ""Dec 2021 - Present""]","[[""Mr. Pal is a B.Com (H) and MBA from SIBM Pune."", ""Prior to joining PGIM India Mutual Fund, he has worked with BNP Paribas AMC as Head Fixed Income, UTI AMC as Sr. Vice President & Fund Manager & TATA AMC as Fund Manager.""], [""Mr. Murarka is a MBA (Finance), CFA"", ""Prior to joining PGIM India Asset Management Private Limited, he has worked with Reliance Nippon Life Insurance Company Ltd., Prebon Yamane India Ltd. and Morgan Stanley.""]]","[[""PGIM India Dynamic Bond Direct Plan Growth"", ""PGIM India Midcap Opportunities Fund Direct Growth"", ""PGIM India Flexi Cap Fund Direct Growth"", ""PGIM India ELSS Tax Saver Fund Direct Growth"", ""PGIM India Short Duration Fund Direct Growth"", ""PGIM India Liquid Fund Direct Plan Growth"", ""PGIM India Large Cap Fund Direct Plan Growth"", ""PGIM India Corporate Bond Direct Plan Growth"", ""PGIM India Ultra Short Duration Direct Growth"", ""PGIM India Equity Savings Fund Direct Growth"", ""PGIM India Hybrid Equity Fund Direct Plan Growth"", ""PGIM India Low Duration Fund Direct Plan Growth"", ""PGIM India Gilt Direct Plan Growth"", ""DHFL Pramerica Floating Rate Fund Direct Plan Growth"", ""PGIM India Banking & PSU Debt Fund Direct Growth"", ""DHFL Pramerica Strategic Debt Fund Direct Growth"", ""DHFL Pramerica Medium Term Fund Direct Growth"", ""PGIM India Arbitrage Fund Direct Growth"", ""PGIM India Credit Risk Fund Direct Growth"", ""PGIM India Overnight Fund Direct Growth"", ""PGIM India Money Market Fund Direct Growth"", ""PGIM India Balanced Advantage Fund Direct Growth"", ""PGIM India Small Cap Fund Direct Growth"", ""PGIM India CRISIL IBX Gilt Index Apr 2028 Fund Direct Growth""], [""PGIM India Dynamic Bond Direct Plan Growth"", ""PGIM India Short Duration Fund Direct Growth"", ""PGIM India Large Cap Fund Direct Plan Growth"", ""PGIM India Corporate Bond Direct Plan Growth"", ""PGIM India Gilt Direct Plan Growth"", ""PGIM India Banking & PSU Debt Fund Direct Growth"", ""PGIM India Arbitrage Fund Direct Growth"", ""PGIM India Credit Risk Fund Direct Growth""]]","[24, 8]",Debt,Credit Risk,Low to Moderate Risk,16.82,39.22,7.4,26.0,25129.68
Mahindra Manulife ELSS Tax Saver Fund Direct Growth,0.56,"[""Fatema Pacha"", ""Manish Lodha""]","[""Oct 2020 - Present"", ""Dec 2020 - Present""]","[[""Ms. Pacha has done PGDBM (Finance) and BE (Computers)"", ""Prior to joining Mahindra Manulife Mutual Fund, she was associated with ICICI Prudential Life Insurance and UTI Mutual Fund.""], [""Mr. Lodha is a Chartered Accountant and Company Secretary"", ""Prior to joining Mahindra Manulife Mutual Fund, he was associated with Canara HSBC OBC Life Insurance Co Ltd, Kotak Mahindra Mutual Fund. In these roles, he was responsible for Portfolio Management, Equity Research. He has also held various positions in Finance function during his association with BOC India Ltd (Now Linde India Ltd.).""]]","[[""Mahindra Manulife ELSS Tax Saver Fund Direct Growth"", ""Mahindra Manulife Equity Savings Fund Direct Growth"", ""Mahindra Manulife Multi Cap Fund Direct Growth"", ""Mahindra Manulife Consumption Fund Direct Growth"", ""Mahindra Manulife Large Cap Fund Direct Growth"", ""Mahindra Manulife Aggressive Hybrid Fund Direct Growth"", ""Mahindra Manulife Arbitrage Fund Direct Growth"", ""Mahindra Manulife Focused Fund Direct Growth"", ""Mahindra Manulife Flexi Cap Fund Direct Growth"", ""Mahindra Manulife Balanced Advantage Fund Direct Growth""], [""Mahindra Manulife ELSS Tax Saver Fund Direct Growth"", ""Mahindra Manulife Equity Savings Fund Direct Growth"", ""Mahindra Manulife Multi Cap Fund Direct Growth"", ""Mahindra Manulife Mid Cap Fund Direct Growth"", ""Mahindra Manulife Aggressive Hybrid Fund Direct Growth"", ""Mahindra Manulife Large & Mid Cap Fund Direct Growth"", ""Mahindra Manulife Arbitrage Fund Direct Growth"", ""Mahindra Manulife Flexi Cap Fund Direct Growth"", ""Mahindra Manulife Balanced Advantage Fund Direct Growth"", ""Mahindra Manulife Small Cap Fund Direct Growth"", ""Mahindra Manulife Manufacturing Fund Direct Growth""]]","[10, 11]",Equity,ELSS,Very High Risk,32.72,969.11,16.3,28.0,4742.0
Mahindra Manulife Arbitrage Fund Direct Growth,0.41,"[""Rahul Pal"", ""Abhinav Khandelwal"", ""Manish Lodha""]","[""Aug 2020 - Present"", ""Apr 2022 - Present"", ""Dec 2020 - Present""]","[[""Mr. Pal is a B.Com (H) and Chartered Accountant."", ""Prior to joining Mahindra Manulife Mutual Fund, he has worked with Taurus AMC, Sundaram Mutual Fund and IDBI Mutual Fund.""], [""Mr. Khandelwal is Chartered Accountant"", ""Prior to joining Mahindra Mutual Fund he has worked with Canara Robeco Mutual Fund, Aegon life Insurance Company as Fund Manager, Asian Market Securities as Equity Analyst and Systematix Shares & Stocks as Equity Analyst.""], [""Mr. Lodha is a Chartered Accountant and Company Secretary"", ""Prior to joining Mahindra Manulife Mutual Fund, he was associated with Canara HSBC OBC Life Insurance Co Ltd, Kotak Mahindra Mutual Fund. In these roles, he was responsible for Portfolio Management, Equity Research. He has also held various positions in Finance function during his association with BOC India Ltd (Now Linde India Ltd.).""]]","[[""Mahindra Manulife Liquid Fund Direct Growth"", ""Mahindra Manulife Equity Savings Fund Direct Growth"", ""Mahindra Manulife Low Duration Fund Direct Growth"", ""Mahindra Manulife Dynamic Bond Fund Direct Growth"", ""Mahindra Manulife Aggressive Hybrid Fund Direct Growth"", ""Mahindra Manulife Overnight Fund Direct Growth"", ""Mahindra Manulife Ultra Short Duration Fund Direct Growth"", ""Mahindra Manulife Arbitrage Fund Direct Growth"", ""Mahindra Manulife Short Duration Fund Direct Growth"", ""Mahindra Manulife Balanced Advantage Fund Direct Growth""], [""Mahindra Manulife Mid Cap Fund Direct Growth"", ""Mahindra Manulife Consumption Fund Direct Growth"", ""Mahindra Manulife Large Cap Fund Direct Growth"", ""Mahindra Manulife Large & Mid Cap Fund Direct Growth"", ""Mahindra Manulife Arbitrage Fund Direct Growth"", ""Mahindra Manulife Small Cap Fund Direct Growth""], [""Mahindra Manulife ELSS Tax Saver Fund Direct Growth"", ""Mahindra Manulife Equity Savings Fund Direct Growth"", ""Mahindra Manulife Multi Cap Fund Direct Growth"", ""Mahindra Manulife Mid Cap Fund Direct Growth"", ""Mahindra Manulife Aggressive Hybrid Fund Direct Growth"", ""Mahindra Manulife Large & Mid Cap Fund Direct Growth"", ""Mahindra Manulife Arbitrage Fund Direct Growth"", ""Mahindra Manulife Flexi Cap Fund Direct Growth"", ""Mahindra Manulife Balanced Advantage Fund Direct Growth"", ""Mahindra Manulife Small Cap Fund Direct Growth"", ""Mahindra Manulife Manufacturing Fund Direct Growth""]]","[10, 6, 11]",Hybrid,Arbitrage,Low Risk,12.18,90.27,5.1,28.0,4742.0
Edelweiss NIFTY PSU Bond Plus SDL Apr 2026 50:50 Index Fund Direct Growth,0.2,"[""Dhawal Dalal"", ""Rahul Dedhia""]","[""Mar 2021 - Present"", ""Nov 2021 - Present""]","[[""Mr. Dalal is a B.E and MBA."", ""Prior to joining Edelweiss AMC he has worked with DSP Mutual Fund, Merrill Lynch Asset Management, Private Client Group and MLAM.""], [""Mr. Dedhia is a B.E. (Electronics) and also holds a PGeMBA - Finance."", ""Prior to joining Edelweiss Mutual Fund, he has worked with PGIM India Mutual Fund as Assistant Fund Manager.""]]","[[""Edelweiss Aggressive Hybrid Fund Direct Growth"", ""Edelweiss Arbitrage Fund Direct Growth"", ""Edelweiss Money Market Fund Direct Growth"", ""Edelweiss Short Term Fund Direct Growth"", ""Edelweiss Banking and PSU Debt Fund Direct Growth"", ""Edelweiss Government Securities Fund Direct Growth"", ""Edelweiss Corporate Bond Fund Direct Growth"", ""Edelweiss Equity Savings Fund Direct Growth"", ""BHARAT Bond FOF April 2023 Direct Growth"", ""BHARAT Bond FOF April 2030 Direct Growth"", ""BHARAT Bond FOF April 2025 Direct Growth"", ""BHARAT Bond FOF April 2031 Direct Growth"", ""Edelweiss NIFTY PSU Bond Plus SDL Apr 2026 50:50 Index Fund Direct Growth"", ""Edelweiss NIFTY PSU Bond Plus SDL Apr 2027 50:50 Index Direct Growth"", ""BHARAT Bond ETF FOF April 2032 Direct Growth"", ""Edelweiss CRISIL PSU Plus SDL 50:50 Oct 2025 Index Fund Direct Growth"", ""Edelweiss CRISIL IBX 50:50 Gilt Plus SDL April 2037 Index Fund Direct Growth"", ""Edelweiss CRISIL IBX 50:50 Gilt Plus SDL June 2027 Index Fund Direct Growth"", ""Edelweiss CRISIL IBX 50:50 Gilt Plus SDL Sep 2028 Index Fund Direct Growth"", ""BHARAT Bond ETF FOF April 2033 Direct Growth"", ""Edelweiss CRISIL IBX 50:50 Gilt Plus SDL Short Duration Index Fund Direct Growth"", ""Edelweiss Multi Asset Allocation Fund Direct Growth""], [""Edelweiss Balanced Advantage Fund Direct Growth"", ""Edelweiss Aggressive Hybrid Fund Direct Growth"", ""Edelweiss Arbitrage Fund Direct Growth"", ""Edelweiss Liquid Direct Growth"", ""Edelweiss Low Duration Super Institutional Direct Plan Growth"", ""Edelweiss Banking and PSU Debt Fund Direct Growth"", ""Edelweiss Government Securities Fund Direct Growth"", ""Edelweiss Equity Savings Fund Direct Growth"", ""Edelweiss Fixed Maturity Plan Series 55 Direct Growth"", ""Edelweiss Overnight Fund Direct Growth"", ""BHARAT Bond FOF April 2023 Direct Growth"", ""BHARAT Bond FOF April 2030 Direct Growth"", ""BHARAT Bond FOF April 2025 Direct Growth"", ""BHARAT Bond FOF April 2031 Direct Growth"", ""Edelweiss NIFTY PSU Bond Plus SDL Apr 2026 50:50 Index Fund Direct Growth"", ""Edelweiss NIFTY PSU Bond Plus SDL Apr 2027 50:50 Index Direct Growth"", ""BHARAT Bond ETF FOF April 2032 Direct Growth"", ""Edelweiss CRISIL PSU Plus SDL 50:50 Oct 2025 Index Fund Direct Growth"", ""Edelweiss CRISIL IBX 50:50 Gilt Plus SDL April 2037 Index Fund Direct Growth"", ""Edelweiss CRISIL IBX 50:50 Gilt Plus SDL June 2027 Index Fund Direct Growth"", ""Edelweiss CRISIL IBX 50:50 Gilt Plus SDL Sep 2028 Index Fund Direct Growth"", ""BHARAT Bond ETF FOF April 2033 Direct Growth"", ""Edelweiss CRISIL IBX 50:50 Gilt Plus SDL Short Duration Index Fund Direct Growth"", ""Edelweiss Multi Asset Allocation Fund Direct Growth""]]","[22, 24]",Other,Index,Low to Moderate Risk,12.22,10003.18,6.0,15.0,137526.56
